category,product_id,product_name,product_image
c5,1,Okinawa,img/Milktea/Okinawa.png
c5,2,Winter Melon,img/NO PICTURE YET.png
c5,3,Red Velvet,img/Milktea/Red Velvet.png
c5,4,Matcha,img/Milktea/Matcha.png
c5,5,Double Dutch,img/NO PICTURE YET.png
c5,6,Cheesecake,img/NO PICTURE YET.png
c5,7,Dark Choco,img/Milktea/Dark Choco.png
c5,8,Choco Kisses,img/NO PICTURE YET.png
c5,9,Chocolate,img/NO PICTURE YET.png
c5,10,Salted Caramel,img/NO PICTURE YET.png
c5,11,Cookies and Cream,img/NO PICTURE YET.png
c5,12,Strawberry,img/NO PICTURE YET.png
