product_id,category,product_name,product_image,Price
1,c6,Moca,img/Praf/Mocha Praf.png,49
2,c6,Coffee Jelly,img/Praf/Coffee Jelly Praf.png,49
3,c6,Caramel Macch,img/NO PICTURE YET.png,49
4,c6,Vanilla Coffee,img/Praf/Vanilla Coffee.png,49
5,c6,Cookies and Cream,img/NO PICTURE YET.png,49
6,c6,Cheesecake Cream,img/NO PICTURE YET.png,49
7,c6,Taro Cream,img/Praf/Taro Cream.png,49
8,c6,Matcha Cream,img/NO PICTURE YET.png,49
9,c6,Chocolate Cream,img/NO PICTURE YET.png,49
10,c6,Strawberry Cream,img/Praf/Strawberry Praf.png,49
